Hilo_ID, Iteracion, Latencia_ns
1, 0, 10096418
1, 1, 25172752
1, 2, 35204320
1, 3, 5024219
1, 4, 4918148
1, 5, 5014912
1, 6, 25180734
1, 7, 15045286
1, 8, 4997584
1, 9, 4921429
2, 0, 40329305
2, 1, 4996736
2, 2, 5004633
2, 3, 35300632
2, 4, 45340896
2, 5, 5011326
2, 6, 35216979
2, 7, 5038117
2, 8, 5095172
2, 9, 5007049
0, 0, 20180395
0, 1, 35273866
0, 2, 4945782
0, 3, 4935531
0, 4, 25055085
0, 5, 4908316
0, 6, 55472369
0, 7, 35186812
0, 8, 4986699
0, 9, 15096916
3, 0, 277
3, 1, 15098642
3, 2, 136060924
3, 3, 25198754
3, 4, 95753219
3, 5, 5043377
3, 6, 99
3, 7, 94
3, 8, 794
3, 9, 231
